"jumperSurname","jumperName","compName","compCountry","compDate","compKPoint","jumpSeries","jumperCountry","compRankPlace","jumpSpeed","jumpDistance","jumpPoints","jumpJudgeAPoints","jumpJudgeBPoints","jumpJudgeCPoints","jumpJudgeDPoints","jumpJudgeEPoints","jumpJudgeTotalPoints","jumpGate","JumpGatePoints","jumpWind","jumpWindPoints","jumpTotalPoints","jumpRankPosition","compTotalPoints","classPoints","classPrize","jumperDateOfBirth"
"MUOTKA","OLLI","Titisee-Neustadt","Germany",2013-12-14,125,2,"FIN",22,92.5,132.5,73.5,17.5,18,18,17,17.5,53,14,-4.8,0.35,-3.8,122.7,25,252.2,9,900,1988-07-14
"MURANKA","KLEMENS","Titisee-Neustadt","Germany",2013-12-14,125,1,"POL",29,92.3,129.5,68.1,18,18,18,18.5,17.5,54,16,0,0.05,-0.5,121.6,29,121.6,NA,NA,1994-08-31
"MURANKA","KLEMENS","Titisee-Neustadt","Germany",2013-12-14,125,2,"POL",24,91.9,137,81.6,18.5,18.5,18.5,18,18,55,16,0,0.65,-7,129.6,16,251.2,7,700,1994-08-31
"NAGLIC","TOMAZ","Titisee-Neustadt","Germany",2013-12-14,125,1,"SLO",42,92.2,129,67.2,18,18,17.5,18,17,53.5,16,0,0.18,-1.9,118.8,42,118.8,NA,NA,1989-07-18
"NEUMAYER","MICHAEL","Titisee-Neustadt","Germany",2013-12-14,125,1,"GER",22,93.3,134,76.2,18.5,18.5,18,18.5,18,55,17,-3.8,0.1,-1.1,126.3,22,126.3,NA,NA,1979-01-15
"NEUMAYER","MICHAEL","Titisee-Neustadt","Germany",2013-12-14,125,2,"GER",16,92.7,135,78,18,18.5,18.5,18.5,18,55,16,0,0.09,-1,132,12,258.3,15,1450,1979-01-15
"PREVC","PETER","Titisee-Neustadt","Germany",2013-12-14,125,1,"SLO",16,92.5,133.5,75.3,18.5,18.5,18.5,18.5,18,55.5,17,-3.8,-0.22,2.9,129.9,16,129.9,NA,NA,1992-09-20
"PREVC","PETER","Titisee-Neustadt","Germany",2013-12-14,125,2,"SLO",27,92,127.5,99.7,18,18,17.5,18,17.5,53.5,16,-4.8,0.1,-1.1,116.9,27,246.8,4,400,1992-09-20
"ROMASHOV","ALEXEY","Titisee-Neustadt","Germany",2013-12-14,125,1,"RUS",47,92.3,122,54.6,17.5,17,17,17,17,51,16,0,-0.17,2.2,107.8,47,107.8,NA,NA,1992-04-29
"SCHLIERENZAUER","GREGOR","Titisee-Neustadt","Germany",2013-12-14,125,1,"AUT",13,92.9,135.5,78.9,19,18.5,18.5,19,18.5,56,17,-3.8,-0.1,1.3,132.4,13,132.4,NA,NA,1990-01-07
"SCHLIERENZAUER","GREGOR","Titisee-Neustadt","Germany",2013-12-14,125,2,"AUT",4,92.5,140,87,18,18,18.5,18,18.5,54.5,16,-4.8,0.19,-2.1,139.4,3,271.8,50,5000,1990-01-07
"SHIMIZU","RERUHI","Titisee-Neustadt","Germany",2013-12-14,125,1,"JPN",39,92.6,130.5,69.9,17.5,18,18,18.5,17.5,53.5,16,0,0.32,-3.5,119.9,39,119.9,NA,NA,1993-12-04
"STOCH","KAMIL","Titisee-Neustadt","Germany",2013-12-14,125,1,"POL",8,92.8,137,81.6,19.5,19,19.5,19,19.5,58,17,-3.8,0.07,-0.8,135,8,135,NA,NA,1987-05-25
"STOCH","KAMIL","Titisee-Neustadt","Germany",2013-12-14,125,2,"POL",2,92.2,141.5,89.7,20,19,19.5,19.5,19.5,58.5,16,-4.8,0.22,-2.4,145.8,1,280.8,80,8000,1987-05-25
"TAKEUCHI","TAKU","Titisee-Neustadt","Germany",2013-12-14,125,1,"JPN",11,92.7,133,74.4,18,18,18,17.5,18,54,17,-3.8,-0.69,9,133.6,11,133.6,NA,NA,1987-05-20
"TAKEUCHI","TAKU","Titisee-Neustadt","Germany",2013-12-14,125,2,"JPN",11,92.1,140,87,19,19,18.5,18.5,18.5,56,16,-4.8,1.06,-11.4,131.6,14,265.2,24,2400,1987-05-20
"TEPES","JURIJ","Titisee-Neustadt","Germany",2013-12-14,125,1,"SLO",2,93,140.5,87.9,19,18.5,19,19,19,57,17,-3.8,0.19,-2.1,139,2,139,NA,NA,1989-02-14
"TEPES","JURIJ","Titisee-Neustadt","Germany",2013-12-14,125,2,"SLO",14,92.4,127.5,64.5,18,18,17.5,17.5,18,53.5,16,-4.8,-0.33,4.3,122.3,26,261.3,18,1800,1989-02-14
"VASSILIEV","DIMITRY","Titisee-Neustadt","Germany",2013-12-14,125,1,"RUS",21,93,136,79.8,18,17.5,18,18.5,18,54,17,-3.8,0.21,-2.3,127.7,21,127.7,NA,NA,1979-12-26
"VASSILIEV","DIMITRY","Titisee-Neustadt","Germany",2013-12-14,125,2,"RUS",20,92.7,136.5,80.7,18.5,18,18.5,18,18,54.5,16,0,0.8,-8.6,126.6,20,254.3,11,1100,1979-12-26
"VELTA","RUNE","Titisee-Neustadt","Germany",2013-12-14,125,1,"NOR",28,92.4,132,72.6,18.5,18.5,18.5,18,18,55,17,-3.8,0.19,-2.1,121.7,28,121.7,NA,NA,1989-07-19
"VELTA","RUNE","Titisee-Neustadt","Germany",2013-12-14,125,2,"NOR",28,92.3,127,100.7,17.5,18,17.5,18,17.5,53,16,-4.8,0.08,-0.9,115.7,28,237.4,3,300,1989-07-19
"WANK","ANDREAS","Titisee-Neustadt","Germany",2013-12-14,125,1,"GER",24,92.7,126.5,62.7,18,18,18,18,17.5,54,16,0,-0.67,8.8,125.5,24,125.5,NA,NA,1988-02-18
"WANK","ANDREAS","Titisee-Neustadt","Germany",2013-12-14,125,2,"GER",23,92.3,131.5,71.7,18.5,18.5,18.5,18,18,55,14,-4.8,0.04,-0.4,126.3,22,251.8,8,800,1988-02-18
"WATASE","YUTA","Titisee-Neustadt","Germany",2013-12-14,125,1,"JPN",49,92.2,116.5,44.7,16.5,17,17,17,16.5,50.5,16,0,-0.46,6,101.2,49,101.2,NA,NA,1982-08-08
"WELLINGER","ANDREAS","Titisee-Neustadt","Germany",2013-12-14,125,1,"GER",50,93.4,117.5,46.5,15.5,15.5,16,14.5,15.5,46.5,17,-3.8,-0.91,11.9,101.1,50,101.1,NA,NA,1995-08-28
"ZIOBRO","JAN","Titisee-Neustadt","Germany",2013-12-14,125,1,"POL",44,92.3,124,58.2,16.5,17,17.5,15.5,17,50.5,17,-3.8,-0.83,10.8,115.7,44,115.7,NA,NA,1991-06-24
"ZYLA","PIOTR","Titisee-Neustadt","Germany",2013-12-14,125,1,"POL",23,92.3,134.5,77.1,18.5,18.5,18.5,18,18,55,17,-3.8,0.22,-2.4,125.9,23,125.9,NA,NA,1987-01-16
"ZYLA","PIOTR","Titisee-Neustadt","Germany",2013-12-14,125,2,"POL",12,91.9,139,85.2,19,18.5,18.5,18.5,18.5,55.5,16,-4.8,0.21,-2.3,138.4,5,264.3,22,2200,1987-01-16
"AHONEN","JANNE","Titisee-Neustadt","Germany",2013-12-15,125,1,"FIN",12,93.4,134.5,77.1,18.5,18,18,18.5,18.5,55,17,0,-0.4,5.2,137.3,12,137.3,NA,NA,1977-05-11
"AHONEN","JANNE","Titisee-Neustadt","Germany",2013-12-15,125,2,"FIN",5,93.3,40.5,87.9,19,19,19,19,19,57,17,0,-0.21,2.7,147.6,4,284.9,45,4500,1977-05-11
"AMMANN","SIMON","Titisee-Neustadt","Germany",2013-12-15,125,1,"SUI",5,93.3,142.5,91.5,17.5,17,17,17,17,51,17,0,-0.06,0.8,143.3,5,143.3,NA,NA,1981-06-25
"AMMANN","SIMON","Titisee-Neustadt","Germany",2013-12-15,125,2,"SUI",2,93.5,141.5,89.7,18.5,19,19,19,18.5,56.5,17,0,-0.26,3.4,149.6,1,292.9,80,8000,1981-06-25
"ASIKAINEN","LAURI","Titisee-Neustadt","Germany",2013-12-15,125,1,"FIN",47,93,130,69,18,17.5,17.5,17.5,18,53,17,0,0.08,-0.9,121.1,47,121.1,NA,NA,1989-05-28
"BARDAL","ANDERS","Titisee-Neustadt","Germany",2013-12-15,125,1,"NOR",4,93.3,139,85.2,18.5,19,18.5,19,18.5,56,17,0,-0.2,2.6,143.8,4,143.8,NA,NA,1982-08-24
"BARDAL","ANDERS","Titisee-Neustadt","Germany",2013-12-15,125,2,"NOR",4,93.4,42,90.6,18,19,19,19.5,19,57,17,0,-0.03,0.4,148,3,291.8,50,5000,1982-08-24
"BOYD-CLOWES","MACKENZIE","Titisee-Neustadt","Germany",2013-12-15,125,1,"CAN",35,92.7,132.5,73.5,18,17.5,18,18.5,18,54,17,0,0,0,127.5,35,127.5,NA,NA,1991-07-13
"DELLASEGA","ROBERTO","Titisee-Neustadt","Germany",2013-12-15,125,1,"ITA",43,93.1,130.5,69.9,17.5,18,17.5,18,17.5,53,17,0,0.02,-0.2,122.7,43,122.7,NA,NA,1990-06-15
"DESCHWANDEN","GREGOR","Titisee-Neustadt","Germany",2013-12-15,125,1,"SUI",16,92.7,135.5,78.9,17.5,18.5,18,18,18,54,17,0,-0.19,2.5,135.4,16,135.4,NA,NA,1991-02-27
"DESCHWANDEN","GREGOR","Titisee-Neustadt","Germany",2013-12-15,125,2,"SUI",21,92.7,33,74.4,18,17.5,18,18,18,54,17,0,-0.23,3,131.4,21,266.8,10,1000,1991-02-27
"DESCOMBES","SEVOIE VINCENT","Titisee-Neustadt","Germany",2013-12-15,125,1,"FRA",29,92.9,132,72.6,17.5,18,18,18,18.5,54,17,0,-0.22,2.9,129.5,29,129.5,NA,NA,1984-01-09
"DESCOMBES","SEVOIE VINCENT","Titisee-Neustadt","Germany",2013-12-15,125,2,"FRA",27,92.8,29.5,54,18,18,17.5,18,18,54,17,0,-0.11,1.4,123.5,26,253,4,400,1984-01-09
"FANNEMEL","ANDERS","Titisee-Neustadt","Germany",2013-12-15,125,1,"NOR",40,92.9,130,69,18,17.5,17.5,18.5,18.5,54,17,0,-0.09,1.2,124.2,40,124.2,NA,NA,1991-05-13
"FETTNER","MANUEL","Titisee-Neustadt","Germany",2013-12-15,125,1,"AUT",31,93,132,72.6,18,18.5,18,18,18,54,17,0,-0.2,2.6,129.2,31,129.2,NA,NA,1985-06-17
"FREITAG","RICHARD","Titisee-Neustadt","Germany",2013-12-15,125,1,"GER",9,93.1,136.5,80.7,18.5,19,19,18.5,19,56.5,17,0,-0.2,2.6,139.8,9,139.8,NA,NA,1991-08-14
"FREITAG","RICHARD","Titisee-Neustadt","Germany",2013-12-15,125,2,"GER",11,93,34.5,77.1,18.5,19,18.5,19,18.5,56,17,0,-0.2,2.6,135.7,15,275.5,24,2300,1991-08-14
"FREUND","SEVERIN","Titisee-Neustadt","Germany",2013-12-15,125,1,"GER",6,93.3,138,83.4,18.5,19.5,19,19,19.5,57.5,17,0,-0.08,1,141.9,6,141.9,NA,NA,1988-05-11
"FREUND","SEVERIN","Titisee-Neustadt","Germany",2013-12-15,125,2,"GER",8,93.4,37,81.6,18.5,18,18.5,18.5,18,55,17,0,-0.1,1.3,137.9,3,279.8,32,3050,1988-05-11
"GEIGER","KARL","Titisee-Neustadt","Germany",2013-12-15,125,1,"GER",22,93.1,133,74.4,18,18,18,18.5,18.5,54.5,17,0,-0.24,3.1,132,22,132,NA,NA,1993-02-11
"GEIGER","KARL","Titisee-Neustadt","Germany",2013-12-15,125,2,"GER",23,93.2,34,76.2,18,18.5,18,18.5,18,54.5,17,0,-0.04,0.5,131.2,23,263.2,8,800,1993-02-11
"HAJEK","ANTONIN","Titisee-Neustadt","Germany",2013-12-15,125,1,"CZE",25,92.7,133.5,75.3,18.5,18.5,18.5,19,18.5,55.5,17,0,0,0,130.8,25,130.8,NA,NA,1987-02-12
"HAJEK","ANTONIN","Titisee-Neustadt","Germany",2013-12-15,125,2,"CZE",28,92.8,27.5,53,18,17.5,18,17.5,17.5,53,17,0,-0.23,3,120.5,28,251.3,3,300,1987-02-12
"HLAVA","LUKAS","Titisee-Neustadt","Germany",2013-12-15,125,1,"CZE",46,92.8,130,69,17.5,17.5,18,17.5,18,53,17,0,0.01,-0.1,121.9,46,121.9,NA,NA,1984-09-10
"HVALA","JAKA","Titisee-Neustadt","Germany",2013-12-15,125,1,"SLO",33,92.9,131.5,71.7,18.5,18,18,18,18,54,17,0,-0.18,2.4,128.1,33,128.1,NA,NA,1993-07-15
"INGVALDSEN","OLE MARIUS","Titisee-Neustadt","Germany",2013-12-15,125,1,"NOR",36,92.4,131,70.8,18,18,18,18,18,54,17,0,-0.17,2.2,127,36,127,NA,NA,1985-10-02
"ITO","DAIKI","Titisee-Neustadt","Germany",2013-12-15,125,1,"JPN",8,93.4,137,81.6,18.5,19,18.5,18.5,18.5,55.5,17,0,-0.22,2.9,140,8,140,NA,NA,1985-12-27
"ITO","DAIKI","Titisee-Neustadt","Germany",2013-12-15,125,2,"JPN",7,93.4,37,81.6,18.5,18.5,18.5,18.5,18.5,55.5,17,0,-0.27,3.5,140.6,8,280.6,36,3600,1985-12-27
"JACOBSEN","ANDERS","Titisee-Neustadt","Germany",2013-12-15,125,1,"NOR",23,92.9,133,74.4,18.5,18,18.5,18.5,19,55.5,17,0,-0.14,1.8,131.7,23,131.7,NA,NA,1985-02-17
"JACOBSEN","ANDERS","Titisee-Neustadt","Germany",2013-12-15,125,2,"NOR",17,92.7,38,83.4,18.5,19,19,19,19,57,17,0,0.13,-1.4,139,12,270.7,14,1400,1985-02-17
"JANDA","JAKUB","Titisee-Neustadt","Germany",2013-12-15,125,1,"CZE",24,92.7,133,74.4,18.5,18.5,18.5,18.5,19,55.5,17,0,-0.12,1.6,131.5,24,131.5,NA,NA,1978-04-27
"JANDA","JAKUB","Titisee-Neustadt","Germany",2013-12-15,125,2,"CZE",29,92.6,27.5,53.5,18,17.5,18.5,18,17.5,53.5,17,0,-0.11,1.4,119.4,29,250.9,2,200,1978-04-27
"JUSTIN","ROK","Titisee-Neustadt","Germany",2013-12-15,125,1,"SLO",44,92.8,129.5,68.1,18.5,18,17.5,18,17.5,53.5,17,0,-0.07,0.9,122.5,44,122.5,NA,NA,1993-04-06
"KASAI","NORIAKI","Titisee-Neustadt","Germany",2013-12-15,125,1,"JPN",2,93.3,139.5,86.1,18,19,19,19,19,57,17,0,-0.38,5,148.1,2,148.1,NA,NA,1972-06-06
"KASAI","NORIAKI","Titisee-Neustadt","Germany",2013-12-15,125,2,"JPN",3,93.2,137.5,82.5,18,18.5,18.5,18.5,18.5,55.5,17,0,-0.45,5.9,143.9,5,292,60,6000,1972-06-06
"KOFLER","ANDREAS","Titisee-Neustadt","Germany",2013-12-15,125,1,"AUT",37,93.3,130,69,18,18,17.5,18,18.5,54,17,0,-0.29,3.8,126.8,37,126.8,NA,NA,1984-05-17
"KORNILOV","DENIS","Titisee-Neustadt","Germany",2013-12-15,125,1,"RUS",50,92.6,124.5,59.1,16.5,15.5,15.5,16.5,15.5,47.5,17,0,-0.04,0.5,107.1,50,107.1,NA,NA,1986-08-17
"KOT","MACIEJ","Titisee-Neustadt","Germany",2013-12-15,125,1,"POL",15,93.2,134.5,77.1,18.5,18.5,18,18.5,18,55,17,0,-0.27,3.5,135.6,15,135.6,NA,NA,1991-06-09
"KOT","MACIEJ","Titisee-Neustadt","Germany",2013-12-15,125,2,"POL",10,93.3,38.5,84.3,19,18.5,18.5,19,18.5,56,17,0,-0.1,1.3,141.6,6,277.2,26,2600,1991-06-09
"KRAFT","STEFAN","Titisee-Neustadt","Germany",2013-12-15,125,1,"AUT",20,93,134,76.2,18.5,18,18.5,18.5,18.5,55.5,17,0,-0.09,1.2,132.9,20,132.9,NA,NA,1993-05-13
"KRAFT","STEFAN","Titisee-Neustadt","Germany",2013-12-15,125,2,"AUT",19,93.2,34.5,77.1,18.5,18.5,18.5,18,18.5,55.5,17,0,-0.13,1.7,134.3,19,267.2,12,1200,1993-05-13
"KRANJEC","ROBERT","Titisee-Neustadt","Germany",2013-12-15,125,1,"SLO",13,93.1,135,78,18.5,19,18.5,18.5,19,56,17,0,-0.23,3,137,13,137,NA,NA,1981-07-16
"KRANJEC","ROBERT","Titisee-Neustadt","Germany",2013-12-15,125,2,"SLO",16,93,35,78,18.5,18,18,18,18,54,17,0,-0.14,1.8,133.8,20,270.8,15,1450,1981-07-16
"KRAUS","MARINUS","Titisee-Neustadt","Germany",2013-12-15,125,1,"GER",11,93.1,135,78,18.5,19,18.5,18.5,19,56,17,0,-0.34,4.4,138.4,11,138.4,NA,NA,1991-02-13
"KRAUS","MARINUS","Titisee-Neustadt","Germany",2013-12-15,125,2,"GER",13,93,34.5,77.1,18.5,18.5,18,18.5,18.5,55.5,17,0,-0.18,2.4,135,17,273.4,20,1900,1991-02-13
"KUBACKI","DAWID","Titisee-Neustadt","Germany",2013-12-15,125,1,"POL",42,93.4,129,67.2,18,18,17.5,18,17.5,53.5,17,0,-0.2,2.6,123.3,42,123.3,NA,NA,1990-03-12
"LOITZL","WOLFGANG","Titisee-Neustadt","Germany",2013-12-15,125,1,"AUT",30,93.7,132.5,73.5,17.5,17.5,18,17.5,18,53,17,0,-0.22,2.9,129.4,30,129.4,NA,NA,1980-01-13
"LOITZL","WOLFGANG","Titisee-Neustadt","Germany",2013-12-15,125,2,"AUT",25,93.7,31.5,71.7,18.5,18.5,18,18,18.5,55,17,0,-0.28,3.7,130.4,24,259.8,6,600,1980-01-13
"MATURA","JAN","Titisee-Neustadt","Germany",2013-12-15,125,1,"CZE",17,92.6,134.5,77.1,19,19,19,19,19,57,17,0,-0.04,0.5,134.6,17,134.6,NA,NA,1980-01-29
"MATURA","JAN","Titisee-Neustadt","Germany",2013-12-15,125,2,"CZE",26,92.3,28,65.4,18.5,18,18.5,18.5,17.5,55,17,0,-0.15,2,122.4,27,257,5,500,1980-01-29
"MORGENSTERN","THOMAS","Titisee-Neustadt","Germany",2013-12-15,125,1,"AUT",41,93.3,141,88.8,11,11.5,12,11.5,12,35,17,0,-0.01,0.1,123.9,41,123.9,NA,NA,1986-10-30
"MURANKA","KLEMENS","Titisee-Neustadt","Germany",2013-12-15,125,1,"POL",38,92.8,131,70.8,18,18,18,18.5,17.5,54,17,0,0,0,124.8,38,124.8,NA,NA,1994-08-31
"NAGLIC","TOMAZ","Titisee-Neustadt","Germany",2013-12-15,125,1,"SLO",45,92.8,129.5,68.1,18,17.5,17.5,18,18.5,53.5,17,0,-0.05,0.7,122.3,45,122.3,NA,NA,1989-07-18
"NEUMAYER","MICHAEL","Titisee-Neustadt","Germany",2013-12-15,125,1,"GER",18,93.4,134,76.2,18,18,18,18,18,54,17,0,-0.29,3.8,134,18,134,NA,NA,1979-01-15
"NEUMAYER","MICHAEL","Titisee-Neustadt","Germany",2013-12-15,125,2,"GER",13,93.3,39.5,86.1,18.5,18,18.5,18.5,18,55,17,0,0.16,-1.7,139.4,11,273.4,20,1900,1979-01-15
"PREVC","PETER","Titisee-Neustadt","Germany",2013-12-15,125,1,"SLO",14,92.8,134,76.2,18,18.5,18,18.5,18.5,55,17,0,-0.37,4.8,136,14,136,NA,NA,1992-09-20
"PREVC","PETER","Titisee-Neustadt","Germany",2013-12-15,125,2,"SLO",11,92.8,37.5,82.5,18.5,18.5,19,19,18.5,56,17,0,-0.08,1,139.5,10,275.5,24,2300,1992-09-20
"PUNGERTAR","MATJAZ","Titisee-Neustadt","Germany",2013-12-15,125,1,"SLO",49,92.8,125,60,17,17,17,17,17.5,51,17,0,0.02,-0.2,110.8,49,110.8,NA,NA,1990-08-14
"ROMASHOV","ALEXEY","Titisee-Neustadt","Germany",2013-12-15,125,1,"RUS",39,92.6,129,67.2,17.5,17,17.5,18,18,53,17,0,-0.32,4.2,124.4,39,124.4,NA,NA,1992-04-29
"SCHLIERENZAUER","GREGOR","Titisee-Neustadt","Germany",2013-12-15,125,1,"AUT",10,93.1,137.5,82.5,19,18.5,19,19,19,57,17,0,-0.01,0.1,139.6,10,139.6,NA,NA,1990-01-07
"SCHLIERENZAUER","GREGOR","Titisee-Neustadt","Germany",2013-12-15,125,2,"AUT",8,93,38.5,84.3,19,18.5,19,19,19.5,57,17,0,0.1,-1.1,140.2,9,279.8,32,3050,1990-01-07
"SHIMIZU","RERUHI","Titisee-Neustadt","Germany",2013-12-15,125,1,"JPN",28,93.2,133.5,75.3,18,18,18,18,18,54,17,0,-0.06,0.8,130.1,28,130.1,NA,NA,1993-12-04
"SHIMIZU","RERUHI","Titisee-Neustadt","Germany",2013-12-15,125,2,"JPN",22,93,35.5,78.9,18.5,18.5,18,18.5,18.5,55.5,17,0,0,0,134.4,18,264.5,9,900,1993-12-04
"STOCH","KAMIL","Titisee-Neustadt","Germany",2013-12-15,125,1,"POL",1,93.1,142.5,91.5,19,19.5,20,20,19.5,59,17,0,-0.08,1,151.5,1,151.5,NA,NA,1987-05-25
"STOCH","KAMIL","Titisee-Neustadt","Germany",2013-12-15,125,2,"POL",1,93.3,38.5,84.3,19,19.5,19.5,19.5,19.5,58.5,17,0,-0.49,6.4,149.2,2,300.7,100,10000,1987-05-25
"TAKEUCHI","TAKU","Titisee-Neustadt","Germany",2013-12-15,125,1,"JPN",7,92.9,138,83.4,18.5,19,18.5,19,18.5,56,17,0,-0.14,1.8,141.2,7,141.2,NA,NA,1987-05-20
"TAKEUCHI","TAKU","Titisee-Neustadt","Germany",2013-12-15,125,2,"JPN",6,92.8,138,83.4,18.5,18.5,19,18.5,18.5,55.5,17,0,-0.17,2.2,141.1,7,282.3,40,4000,1987-05-20
"TEPES","JURIJ","Titisee-Neustadt","Germany",2013-12-15,125,1,"SLO",27,93.1,133,74.4,18,18,18,18.5,18,54,17,0,-0.14,1.8,130.2,27,130.2,NA,NA,1989-02-14
"TEPES","JURIJ","Titisee-Neustadt","Germany",2013-12-15,125,2,"SLO",24,93.1,34.5,77.1,19,18.5,18.5,18.5,18.5,55.5,17,0,0.12,-1.3,131.3,22,261.5,7,700,1989-02-14
"VASSILIEV","DIMITRY","Titisee-Neustadt","Germany",2013-12-15,125,1,"RUS",21,93.3,133,74.4,18,18,18,18,18,54,17,0,-0.32,4.2,132.6,21,132.6,NA,NA,1979-12-26
"VASSILIEV","DIMITRY","Titisee-Neustadt","Germany",2013-12-15,125,2,"RUS",30,93.2,26.5,52.5,17.5,17,17.5,17.5,17.5,52.5,17,0,-0.09,1.2,116.4,30,249,1,100,1979-12-26
"VELTA","RUNE","Titisee-Neustadt","Germany",2013-12-15,125,1,"NOR",32,93.1,131,70.8,18,18,17.5,18,18,54,17,0,-0.29,3.8,128.6,32,128.6,NA,NA,1989-07-19
"WANK","ANDREAS","Titisee-Neustadt","Germany",2013-12-15,125,1,"GER",26,93.3,132.5,73.5,18.5,18,18,18.5,18.5,55,17,0,-0.15,2,130.5,26,130.5,NA,NA,1988-02-18
"WANK","ANDREAS","Titisee-Neustadt","Germany",2013-12-15,125,2,"GER",20,93.4,36,79.8,18.5,18,18.5,19,18.5,55.5,17,0,-0.1,1.3,136.6,14,267.1,11,1100,1988-02-18
"WATASE","YUTA","Titisee-Neustadt","Germany",2013-12-15,125,1,"JPN",34,93.1,130,69,18,18,18,18,17.5,54,17,0,-0.35,4.6,127.6,34,127.6,NA,NA,1982-08-08
"WELLINGER","ANDREAS","Titisee-Neustadt","Germany",2013-12-15,125,1,"GER",19,93.8,133,74.4,17.5,18.5,18,18,18.5,54.5,17,0,-0.36,4.7,133.6,19,133.6,NA,NA,1995-08-28
"WELLINGER","ANDREAS","Titisee-Neustadt","Germany",2013-12-15,125,2,"GER",18,93.8,37,81.6,18.5,18.5,18.5,18.5,18,55.5,17,0,0.13,-1.4,135.7,15,269.3,13,1300,1995-08-28
"ZIOBRO","JAN","Titisee-Neustadt","Germany",2013-12-15,125,1,"POL",48,92.6,127,63.6,17,16.5,17,17.5,16,50.5,17,0,-0.21,2.7,116.8,48,116.8,NA,NA,1991-06-24
"ZYLA","PIOTR","Titisee-Neustadt","Germany",2013-12-15,125,1,"POL",3,92.6,139,85.2,19,19,19,19,19,57,17,0,-0.24,3.1,145.3,3,145.3,NA,NA,1987-01-16
"ZYLA","PIOTR","Titisee-Neustadt","Germany",2013-12-15,125,2,"POL",15,92.4,31,70.8,18,18,18,18,18,54,17,0,-0.11,1.4,126.2,25,271.5,16,1600,1987-01-16
"AHONEN","JANNE","Engelberg","Switzerland",2013-12-21,125,1,"FIN",17,92.6,126.5,62.7,18,18,17.5,18,18,54,13,0,-0.35,4.2,120.9,17,120.9,NA,NA,1977-05-11
"AHONEN","JANNE","Engelberg","Switzerland",2013-12-21,125,2,"FIN",23,93.9,22.5,55.5,17.5,17.5,17.5,18,18,53,17,-7.3,-1.28,15.3,116.5,26,237.4,8,800,1977-05-11
"AMMANN","SIMON","Engelberg","Switzerland",2013-12-21,125,1,"SUI",28,92.7,125,60,17.5,18,17,18,17,52.5,13,0,-0.44,5.3,117.8,28,117.8,NA,NA,1981-06-25
"AMMANN","SIMON","Engelberg","Switzerland",2013-12-21,125,2,"SUI",11,93.3,34,76.2,18,18.5,17.5,19,18,54.5,15,0,-0.67,8,138.7,4,256.5,24,2400,1981-06-25
"BARDAL","ANDERS","Engelberg","Switzerland",2013-12-21,125,1,"NOR",2,92.7,131,70.8,18.5,18.5,18.5,18.5,18.5,55.5,13,0,-0.7,8.4,134.7,2,134.7,NA,NA,1982-08-24
"BARDAL","ANDERS","Engelberg","Switzerland",2013-12-21,125,2,"NOR",3,94,140,87,16,17.5,15.5,16.5,14.5,48,17,-7.3,-0.49,5.9,133.6,5,268.3,60,6000,1982-08-24
"BOYD-CLOWES","MACKENZIE","Engelberg","Switzerland",2013-12-21,125,2,"CAN",24,92.6,24.5,59.1,17.5,18,18,17.5,18,53.5,15,0,-0.57,6.8,119.4,20,237.3,7,700,1991-07-13
"BOYD-CLOWES","MACKENZIE","Engelberg","Switzerland",2013-12-21,125,1,"CAN",27,92.1,127.5,64.5,17.5,17.5,18,17.5,18.5,53,13,0,-0.03,0.4,117.9,27,117.9,NA,NA,1991-07-13
"BRESADOLA","DAVIDE","Engelberg","Switzerland",2013-12-21,125,1,"ITA",45,92.1,117.5,46.5,17,17,17,18,17.5,51.5,13,0,-0.8,9.6,107.6,45,107.6,NA,NA,1988-09-10
"CIKL","MARTIN","Engelberg","Switzerland",2013-12-21,125,1,"CZE",38,92.2,122,54.6,17.5,18,18,18,18.5,54,13,0,-0.03,0.4,109,38,109,NA,NA,1987-08-17
"COLLOREDO","SEBASTIAN","Engelberg","Switzerland",2013-12-21,125,1,"ITA",46,92,119.5,50.1,17.5,17.5,17.5,18,18.5,53,13,0,-0.37,4.4,107.5,46,107.5,NA,NA,1987-09-09
"DELLASEGA","ROBERTO","Engelberg","Switzerland",2013-12-21,125,1,"ITA",36,92.5,124.5,59.1,17.5,17.5,17.5,18,18,53,13,0,-0.14,1.7,113.8,36,113.8,NA,NA,1990-06-15
"DESCHWANDEN","GREGOR","Engelberg","Switzerland",2013-12-21,125,1,"SUI",29,92.1,125,60,18,18,17.5,18,18,54,13,0,-0.3,3.6,117.6,29,117.6,NA,NA,1991-02-27
"DESCHWANDEN","GREGOR","Engelberg","Switzerland",2013-12-21,125,2,"SUI",18,92.4,24,58.2,18,18,18.5,17.5,18,54,15,0,-0.86,10.3,122.5,17,240.1,13,1300,1991-02-27
"DESCOMBES","SEVOIE VINCENT","Engelberg","Switzerland",2013-12-21,125,1,"FRA",39,91.9,122,54.6,17.5,17,17.5,17.5,17.5,52.5,13,0,-0.15,1.8,108.9,39,108.9,NA,NA,1984-01-09
"DIETHART","THOMAS","Engelberg","Switzerland",2013-12-21,125,1,"AUT",5,92.3,129.5,68.1,18.5,18.5,18,19,18.5,55.5,13,0,-0.39,4.7,128.3,5,128.3,NA,NA,1992-02-25
